SERVICE_DATE,PEAK_OFFPEAK_IND,MODE_TYPE,ROUTE_OR_LINE,ROUTE_TYPE,STOP,METRIC_TYPE,OTP_NUMERATOR,OTP_DENOMINATOR
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-B Line,Green Line,Boston Univ West,Passenger Wait Time,22.775151506,94.567536940
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-B Line,Green Line,Chiswick Road,Passenger Wait Time,21.346647867,111.438531889
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-E Line,Green Line,Prudential,Passenger Wait Time,229.563142656,606.316088140
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-B Line,Green Line,Boston Univ East,Passenger Wait Time,22.167631135,77.451304409
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-B Line,Green Line,Kenmore,Passenger Wait Time,127.846958226,697.644849930
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-B Line,Green Line,Packards Corner,Passenger Wait Time,40.194238466,195.035488843
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-D Line,Green Line,Boylston,Passenger Wait Time,70.282085607,271.951829082
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-E Line,Green Line,Northeastern,Passenger Wait Time,139.131059416,308.907038395
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-E Line,Green Line,Riverway,Passenger Wait Time,51.517921899,118.035574503
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-B Line,Green Line,Boylston,Passenger Wait Time,76.441784598,265.248759794
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-B Line,Green Line,Hynes,Passenger Wait Time,182.632348121,545.733660697
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-B Line,Green Line,South Street,Passenger Wait Time,39.881610260,159.127386336
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-B Line,Green Line,Washington Street,Passenger Wait Time,40.841047688,185.172280459
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-C Line,Green Line,Park Street,Passenger Wait Time,3.392964425,9.551381422
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-D Line,Green Line,Newton Centre,Passenger Wait Time,52.593309164,191.630678700
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-E Line,Green Line,Symphony,Passenger Wait Time,223.998244345,608.421954270
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-B Line,Green Line,Warren Street,Passenger Wait Time,31.631132972,176.682437876
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-C Line,Green Line,Arlington,Passenger Wait Time,230.004171297,482.137354004
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-C Line,Green Line,Brandon Hall,Passenger Wait Time,39.173578964,96.451161052
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-C Line,Green Line,Englewood Avenue,Passenger Wait Time,123.325557970,389.114534534
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-C Line,Green Line,Fairbanks Street,Passenger Wait Time,26.758487071,83.017517814
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-D Line,Green Line,Chestnut Hill,Passenger Wait Time,55.630956376,177.612554299
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-D Line,Green Line,Fenway,Passenger Wait Time,52.229744212,197.937261474
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,Green-D Line,Green Line,Kenmore,Passenger Wait Time,109.702451260,550.103511669
