SERVICE_MONTH,MODE_TYPE,TOTAL_WEEKDAY_RIDERSHIP_COUNT,NUMBER_OF_WEEKDAYS,AVERAGE_WEEKDAY_RIDERSHIP_COUNT,ROUTE_OR_LINE
2016-01-01,BUS,7315652,19,385034.33,BUS
2016-01-01,BUS,703980,19,37051.57,SILVER LINE
2016-01-01,COMMUTER RAIL,2512841,19,132254.81,COMMUTER RAIL
2016-01-01,FERRY,59503,20,2975.15,F1-HINGHAM-BOSTON
2016-01-01,FERRY,16191,20,809.55,F2_F2H-Quincy-Boston-Logan-Hull-Georges
2016-01-01,FERRY,8172,20,408.6,F4-BOSTON-CHARLESTOWN
2016-01-01,RAIL,1157522,19,60922.2,BLUE LINE
2016-01-01,RAIL,3481843,19,183254.92,GREEN LINE
2016-01-01,RAIL,3911124,19,205848.63,ORANGE LINE
2016-01-01,RAIL,5105925,19,268732.91,RED LINE
2016-01-01,THE RIDE,118612,19,6242.74,THE RIDE
2016-02-01,BUS,7591652,20,379582.61,BUS
2016-02-01,BUS,711330,20,35566.48,SILVER LINE
2016-02-01,COMMUTER RAIL,2439946,20,121997.32,COMMUTER RAIL
2016-02-01,FERRY,58596,21,2790.29,F1-HINGHAM-BOSTON
2016-02-01,FERRY,16811,20,840.55,F2_F2H-Quincy-Boston-Logan-Hull-Georges
2016-02-01,FERRY,8539,20,426.95,F4-BOSTON-CHARLESTOWN
2016-02-01,RAIL,1231532,20,61576.58,BLUE LINE
2016-02-01,RAIL,3910136,20,195506.79,GREEN LINE
2016-02-01,RAIL,4163166,20,208158.32,ORANGE LINE
2016-02-01,RAIL,5511236,20,275561.78,RED LINE
2016-02-01,THE RIDE,118126,20,5906.3,THE RIDE
2016-03-01,BUS,9075659,23,394593.88,BUS
2016-03-01,BUS,836491,23,36369.15,SILVER LINE
2016-03-01,COMMUTER RAIL,2923293,23,127099.68,COMMUTER RAIL
2016-03-01,FERRY,67941,23,2953.96,F1-HINGHAM-BOSTON
2016-03-01,FERRY,20169,23,876.91,F2_F2H-Quincy-Boston-Logan-Hull-Georges
2016-03-01,FERRY,13081,23,568.74,F4-BOSTON-CHARLESTOWN
2016-03-01,RAIL,1490428,23,64801.22,BLUE LINE
2016-03-01,RAIL,4611139,23,200484.3,GREEN LINE
2016-03-01,RAIL,4839890,23,210430.02,ORANGE LINE
2016-03-01,RAIL,6507357,23,282928.56,RED LINE
2016-03-01,THE RIDE,143317,23,6231.18,THE RIDE
2016-04-01,BUS,8138642,21,387554.36,BUS
2016-04-01,BUS,779277,21,37108.44,SILVER LINE
2016-04-01,COMMUTER RAIL,2557413,21,121781.56,COMMUTER RAIL
