SERVICE_MONTH,MODE_TYPE,TOTAL_WEEKDAY_RIDERSHIP_COUNT,NUMBER_OF_WEEKDAYS,AVERAGE_WEEKDAY_RIDERSHIP_COUNT,ROUTE_OR_LINE
2016-01-01,BUS,7315652,19,385034.33,BUS
2016-01-01,BUS,703980,19,37051.57,"SILVER LINE"
2016-01-01,"COMMUTER RAIL",2512841,19,132254.81,"COMMUTER RAIL"
2016-01-01,FERRY,59503,20,2975.15,F1-HINGHAM-BOSTON
2016-01-01,FERRY,16191,20,809.55,F2_F2H-Quincy-Boston-Logan-Hull-Georges
2016-01-01,FERRY,8172,20,408.60,F4-BOSTON-CHARLESTOWN
2016-01-01,RAIL,1157522,19,60922.20,"BLUE LINE"
2016-01-01,RAIL,3481843,19,183254.92,"GREEN LINE"
2016-01-01,RAIL,3911124,19,205848.63,"ORANGE LINE"
2016-01-01,RAIL,5105925,19,268732.91,"RED LINE"
2016-01-01,"THE RIDE",118612,19,6242.74,"THE RIDE"
