SERVICE_MONTH,MODE_TYPE,TOTAL_WEEKDAY_RIDERSHIP_COUNT,NUMBER_OF_WEEKDAYS,AVERAGE_WEEKDAY_RIDERSHIP_COUNT,ROUTE_OR_LINE
2016-02-01,BUS,7591652,20,379582.61,BUS
2016-02-01,BUS,711330,20,35566.48,"SILVER LINE"
2016-02-01,"COMMUTER RAIL",2439946,20,121997.32,"COMMUTER RAIL"
2016-02-01,FERRY,58596,21,2790.29,F1-HINGHAM-BOSTON
2016-02-01,FERRY,16811,20,840.55,F2_F2H-Quincy-Boston-Logan-Hull-Georges
2016-02-01,FERRY,8539,20,426.95,F4-BOSTON-CHARLESTOWN
2016-02-01,RAIL,1231532,20,61576.58,"BLUE LINE"
2016-02-01,RAIL,3910136,20,195506.79,"GREEN LINE"
2016-02-01,RAIL,4163166,20,208158.32,"ORANGE LINE"
2016-02-01,RAIL,5511236,20,275561.78,"RED LINE"
2016-02-01,"THE RIDE",118126,20,5906.30,"THE RIDE"
