SERVICE_MONTH,MODE_TYPE,TOTAL_WEEKDAY_RIDERSHIP_COUNT,NUMBER_OF_WEEKDAYS,AVERAGE_WEEKDAY_RIDERSHIP_COUNT,ROUTE_OR_LINE
2016-03-01,BUS,9075659,23,394593.88,BUS
2016-03-01,BUS,836491,23,36369.15,"SILVER LINE"
2016-03-01,"COMMUTER RAIL",2923293,23,127099.68,"COMMUTER RAIL"
2016-03-01,FERRY,67941,23,2953.96,F1-HINGHAM-BOSTON
2016-03-01,FERRY,20169,23,876.91,F2_F2H-Quincy-Boston-Logan-Hull-Georges
2016-03-01,FERRY,13081,23,568.74,F4-BOSTON-CHARLESTOWN
2016-03-01,RAIL,1490428,23,64801.22,"BLUE LINE"
2016-03-01,RAIL,4611139,23,200484.30,"GREEN LINE"
2016-03-01,RAIL,4839890,23,210430.02,"ORANGE LINE"
2016-03-01,RAIL,6507357,23,282928.56,"RED LINE"
2016-03-01,"THE RIDE",143317,23,6231.18,"THE RIDE"
