SERVICE_MONTH,MODE_TYPE,TOTAL_WEEKDAY_RIDERSHIP_COUNT,NUMBER_OF_WEEKDAYS,AVERAGE_WEEKDAY_RIDERSHIP_COUNT,ROUTE_OR_LINE
2016-04-01,BUS,8138642,21,387554.36,BUS
2016-04-01,BUS,779277,21,37108.44,"SILVER LINE"
2016-04-01,"COMMUTER RAIL",2557413,21,121781.56,"COMMUTER RAIL"
2016-04-01,FERRY,65615,21,3124.52,F1-HINGHAM-BOSTON
2016-04-01,FERRY,20486,21,975.52,F2_F2H-Quincy-Boston-Logan-Hull-Georges
2016-04-01,FERRY,16274,21,774.95,F4-BOSTON-CHARLESTOWN
2016-04-01,RAIL,1424600,21,67838.10,"BLUE LINE"
2016-04-01,RAIL,4458641,21,212316.26,"GREEN LINE"
2016-04-01,RAIL,4411254,21,210059.72,"ORANGE LINE"
2016-04-01,RAIL,6013745,21,286368.82,"RED LINE"
2016-04-01,"THE RIDE",130615,21,6219.77,"THE RIDE"
