SERVICE_MONTH,MODE_TYPE,TOTAL_WEEKDAY_RIDERSHIP_COUNT,NUMBER_OF_WEEKDAYS,AVERAGE_WEEKDAY_RIDERSHIP_COUNT,ROUTE_OR_LINE
2016-05-01,BUS,8285336,21,394539.82,BUS
2016-05-01,BUS,762907,21,36328.93,"SILVER LINE"
2016-05-01,"COMMUTER RAIL",2499449,21,119021.37,"COMMUTER RAIL"
2016-05-01,FERRY,69197,21,3295.10,F1-HINGHAM-BOSTON
2016-05-01,FERRY,21414,21,1019.71,F2_F2H-Quincy-Boston-Logan-Hull-Georges
2016-05-01,FERRY,20506,21,976.48,F4-BOSTON-CHARLESTOWN
2016-05-01,RAIL,1452505,21,69166.88,"BLUE LINE"
2016-05-01,RAIL,4199087,21,199956.52,"GREEN LINE"
2016-05-01,RAIL,4321291,21,205775.76,"ORANGE LINE"
2016-05-01,RAIL,6001526,21,285786.94,"RED LINE"
2016-05-01,"THE RIDE",133114,21,6338.75,"THE RIDE"
