SERVICE_MONTH,MODE_TYPE,TOTAL_WEEKDAY_RIDERSHIP_COUNT,NUMBER_OF_WEEKDAYS,AVERAGE_WEEKDAY_RIDERSHIP_COUNT,ROUTE_OR_LINE
2016-06-01,BUS,8177110,22,371686.83,BUS
2016-06-01,BUS,799189,22,36326.78,"SILVER LINE"
2016-06-01,"COMMUTER RAIL",2949987,22,134090.32,"COMMUTER RAIL"
2016-06-01,FERRY,81229,22,3692.23,F1-HINGHAM-BOSTON
2016-06-01,FERRY,29310,22,1332.27,F2_F2H-Quincy-Boston-Logan-Hull-Georges
2016-06-01,FERRY,31345,22,1424.77,F4-BOSTON-CHARLESTOWN
2016-06-01,RAIL,1588211,22,72191.42,"BLUE LINE"
2016-06-01,RAIL,4426490,22,201204.09,"GREEN LINE"
2016-06-01,RAIL,4505974,22,204816.99,"ORANGE LINE"
2016-06-01,RAIL,6379019,22,289955.40,"RED LINE"
2016-06-01,"THE RIDE",166340,22,7560.92,"THE RIDE"
