SERVICE_MONTH,MODE_TYPE,TOTAL_WEEKDAY_RIDERSHIP_COUNT,NUMBER_OF_WEEKDAYS,AVERAGE_WEEKDAY_RIDERSHIP_COUNT,ROUTE_OR_LINE
2016-07-01,BUS,7027409,20,351370.44,BUS
2016-07-01,BUS,750608,20,37530.38,"SILVER LINE"
2016-07-01,"COMMUTER RAIL",2599103,20,129955.15,"COMMUTER RAIL"
2016-07-01,FERRY,74280,20,3714.00,F1-HINGHAM-BOSTON
2016-07-01,FERRY,32939,20,1646.95,F2_F2H-Quincy-Boston-Logan-Hull-Georges
2016-07-01,FERRY,35464,20,1773.20,F4-BOSTON-CHARLESTOWN
2016-07-01,RAIL,1439363,20,71968.16,"BLUE LINE"
2016-07-01,RAIL,3942480,20,197124.02,"GREEN LINE"
2016-07-01,RAIL,3906487,20,195324.37,"ORANGE LINE"
2016-07-01,RAIL,5627644,20,281382.20,"RED LINE"
2016-07-01,"THE RIDE",136282,20,6814.10,"THE RIDE"
