SERVICE_MONTH,MODE_TYPE,TOTAL_WEEKDAY_RIDERSHIP_COUNT,NUMBER_OF_WEEKDAYS,AVERAGE_WEEKDAY_RIDERSHIP_COUNT,ROUTE_OR_LINE
2016-08-01,BUS,7884879,23,342820.83,BUS
2016-08-01,BUS,838270,23,36446.52,"SILVER LINE"
2016-08-01,"COMMUTER RAIL",2858501,23,124282.65,"COMMUTER RAIL"
2016-08-01,FERRY,84757,23,3685.09,F1-HINGHAM-BOSTON
2016-08-01,FERRY,39028,23,1696.87,F2_F2H-Quincy-Boston-Logan-Hull-Georges
2016-08-01,FERRY,35787,23,1555.96,F4-BOSTON-CHARLESTOWN
2016-08-01,RAIL,1599541,23,69545.27,"BLUE LINE"
2016-08-01,RAIL,4229335,23,183884.12,"GREEN LINE"
2016-08-01,RAIL,4335012,23,188478.76,"ORANGE LINE"
2016-08-01,RAIL,6162958,23,267954.71,"RED LINE"
2016-08-01,"THE RIDE",156522,23,6805.30,"THE RIDE"
