SERVICE_MONTH,MODE_TYPE,TOTAL_WEEKDAY_RIDERSHIP_COUNT,NUMBER_OF_WEEKDAYS,AVERAGE_WEEKDAY_RIDERSHIP_COUNT,ROUTE_OR_LINE
2016-09-01,BUS,8065754,21,384083.53,BUS
2016-09-01,BUS,768046,21,36573.63,"SILVER LINE"
2016-09-01,"COMMUTER RAIL",2662603,21,126790.62,"COMMUTER RAIL"
2016-09-01,FERRY,71201,22,3236.41,F1-HINGHAM-BOSTON
2016-09-01,FERRY,25186,22,1144.82,F2_F2H-Quincy-Boston-Logan-Hull-Georges
2016-09-01,FERRY,23333,22,1060.59,F4-BOSTON-CHARLESTOWN
2016-09-01,RAIL,1488671,21,70889.09,"BLUE LINE"
2016-09-01,RAIL,4286404,21,204114.49,"GREEN LINE"
2016-09-01,RAIL,4402131,21,209625.27,"ORANGE LINE"
2016-09-01,RAIL,6047718,21,287986.58,"RED LINE"
2016-09-01,"THE RIDE",150322,21,7158.19,"THE RIDE"
