SERVICE_MONTH,MODE_TYPE,TOTAL_WEEKDAY_RIDERSHIP_COUNT,NUMBER_OF_WEEKDAYS,AVERAGE_WEEKDAY_RIDERSHIP_COUNT,ROUTE_OR_LINE
2016-10-01,BUS,7913609,21,376838.55,BUS
2016-10-01,BUS,766494,21,36499.71,"SILVER LINE"
2016-10-01,"COMMUTER RAIL",2625567,21,125027.00,"COMMUTER RAIL"
2016-10-01,FERRY,69678,21,3318.00,F1-HINGHAM-BOSTON
2016-10-01,FERRY,22053,21,1050.14,F2_F2H-Quincy-Boston-Logan-Hull-Georges
2016-10-01,FERRY,22379,21,1065.67,F4-BOSTON-CHARLESTOWN
2016-10-01,RAIL,1457281,21,69394.35,"BLUE LINE"
2016-10-01,RAIL,4249159,21,202340.89,"GREEN LINE"
2016-10-01,RAIL,4355302,21,207395.31,"ORANGE LINE"
2016-10-01,RAIL,6009258,21,286155.15,"RED LINE"
2016-10-01,"THE RIDE",150326,21,7158.38,"THE RIDE"
