"","STOP","SERVICE_DATE","ROUTE_OR_LINE","ROUTE_TYPE","OTP_NUMERATOR","OTP_DENOMINATOR","rely","OBJECTID","LINE","TERMINUS","ROUTE","LONGITUDE","LATITUDE"
"1","Allston Street","17-MAR-2016","Green-B Line","Green Line",70.489412717,208.240156993,0.6615,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"2","Allston Street","24-MAR-2016","Green-B Line","Green Line",49.818264421,212.888540635,0.766,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"3","Allston Street","01-MAR-2016","Green-B Line","Green Line",57.483451069,209.196947459,0.7252,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"4","Allston Street","09-MAR-2016","Green-B Line","Green Line",41.658490834,79.996232067,0.4792,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"5","Allston Street","30-MAR-2016","Green-B Line","Green Line",68.469809446,211.520225755,0.6763,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"6","Allston Street","23-MAR-2016","Green-B Line","Green Line",59.57992231,207.485493866,0.7128,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"7","Allston Street","02-MAR-2016","Green-B Line","Green Line",41.469509022,210.948027561,0.8034,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"8","Allston Street","31-MAR-2016","Green-B Line","Green Line",66.963969202,203.053579188,0.6702,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"9","Allston Street","29-MAR-2016","Green-B Line","Green Line",62.564846917,205.241363643,0.6952,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"10","Allston Street","28-MAR-2016","Green-B Line","Green Line",59.904094198,210.442009518,0.7153,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"11","Allston Street","18-MAR-2016","Green-B Line","Green Line",77.879392474,200.536998499,0.6116,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"12","Allston Street","10-MAR-2016","Green-B Line","Green Line",32.87848283,98.32224251,0.6656,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"13","Allston Street","04-MAR-2016","Green-B Line","Green Line",65.667950093,203.448380671,0.6772,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"14","Allston Street","03-MAR-2016","Green-B Line","Green Line",58.290996525,199.112231345,0.7072,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"15","Allston Street","14-MAR-2016","Green-B Line","Green Line",69.415764221,210.436314399,0.6701,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"16","Allston Street","21-MAR-2016","Green-B Line","Green Line",72.624585949,228.179605912,0.6817,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"17","Allston Street","25-MAR-2016","Green-B Line","Green Line",76.197558149,206.210785045,0.6305,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"18","Allston Street","15-MAR-2016","Green-B Line","Green Line",75.909240074,209.584785497,0.6378,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"19","Allston Street","22-MAR-2016","Green-B Line","Green Line",54.929357051,205.019862874,0.7321,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"20","Allston Street","11-MAR-2016","Green-B Line","Green Line",55.43716319,203.841393022,0.728,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"21","Allston Street","07-MAR-2016","Green-B Line","Green Line",61.610602485,219.389178531,0.7192,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"22","Allston Street","16-MAR-2016","Green-B Line","Green Line",72.62733214,157.522234393,0.5389,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"23","Allston Street","08-MAR-2016","Green-B Line","Green Line",47.453698763,199.615171921,0.7623,83,"GREEN","N","B - Boston College",-71.13763742,42.34858476
"24","Arlington","29-MAR-2016","Green-E Line","Green Line",471.122798737,1038.809445023,0.5465,8,"GREEN","N","B C D E",-71.07099017,42.35177712
"25","Arlington","11-MAR-2016","Green-B Line","Green Line",51.660782161,239.092619685,0.7839,8,"GREEN","N","B C D E",-71.07099017,42.35177712
"26","Arlington","28-MAR-2016","Green-D Line","Green Line",107.758493185,464.081113821,0.7678,8,"GREEN","N","B C D E",-71.07099017,42.35177712
"27","Arlington","03-MAR-2016","Green-C Line","Green Line",210.085561278,585.57945297,0.6412,8,"GREEN","N","B C D E",-71.07099017,42.35177712
"28","Arlington","16-MAR-2016","Green-D Line","Green Line",82.448911157,194.497891198,0.5761,8,"GREEN","N","B C D E",-71.07099017,42.35177712
"29","Arlington","17-MAR-2016","Green-B Line","Green Line",87.725391551,222.711802036,0.6061,8,"GREEN","N","B C D E",-71.07099017,42.35177712
"30","Arlington","21-MAR-2016","Green-B Line","Green Line",60.639793675,229.10077681,0.7353,8,"GREEN","N","B C D E",-71.07099017,42.35177712
"31","Arlington","25-MAR-2016","Green-B Line","Green Line",76.514295604,243.51017633,0.6858,8,"GREEN","N","B C D E",-71.07099017,42.35177712
"32","Arlington","01-MAR-2016","Green-E Line","Green Line",592.347077183,1059.503514468,0.4409,8,"GREEN","N","B C D E",-71.07099017,42.35177712
"33","Arlington","30-MAR-2016","Green-B Line","Green Line",86.623656035,254.024425385,0.659,8,"GREEN","N","B C D E",-71.07099017,42.35177712
"34","Arlington","30-MAR-2016","Green-D Line","Green Line",191.738484838,591.98116227,0.6761,8,"GREEN","N","B C D E",-71.07099017,42.35177712
"35","Arlington","18-MAR-2016","Green-E Line","Green Line",415.88124589,914.804086538,0.5454,8,"GREEN","N","B C D E",-71.07099017,42.35177712
