SERVICE_DATE,PEAK_OFFPEAK_IND,MODE_TYPE,ROUTE_OR_LINE,ROUTE_TYPE,STOP,METRIC_TYPE,OTP_NUMERATOR,OTP_DENOMINATOR
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,97,OTH,,"Headway / Schedule Adherence",55.000000000,115.000000000
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Commuter,"Middleboro Line",,,"Headway / Schedule Adherence",8.000000000,8.000000000
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Commuter,"Needham Line",,,"Headway / Schedule Adherence",9.000000000,10.000000000
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Blue Line","Blue Line","Maverick ","Passenger Wait Time",96.541905824,1461.515161877
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Blue Line","Blue Line","State Street ","Passenger Wait Time",239.023774551,3084.113515152
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Blue Line","Blue Line","Suffolk Downs ","Passenger Wait Time",13.607599565,128.775117988
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Green-B Line","Green Line","Boston Univ West ","Passenger Wait Time",22.775151506,94.567536940
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Green-B Line","Green Line","Chiswick Road ","Passenger Wait Time",21.346647867,111.438531889
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Green-E Line","Green Line","Prudential ","Passenger Wait Time",229.563142656,606.316088140
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,CT1,OTH,,"Headway / Schedule Adherence",241.000000000,331.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,SL2,SL,,"Headway / Schedule Adherence",513.000000000,554.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,SL4,SL,,"Headway / Schedule Adherence",926.000000000,1193.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Commuter,"Fairmount Line",,,"Headway / Schedule Adherence",28.000000000,31.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Commuter,"Greenbush Line",,,"Headway / Schedule Adherence",15.000000000,15.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Commuter,"Newburyport Line",,,"Headway / Schedule Adherence",20.000000000,23.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Rail,"Blue Line","Blue Line","Beachmont ","Passenger Wait Time",65.767716689,673.186071967
01-MAR-2016,"Off-Peak Service (All Other Times)",Rail,"Green-C Line","Green Line","North Station ","Passenger Wait Time",.085070216,.879855174
01-MAR-2016,"Off-Peak Service (All Other Times)",Rail,"Green-E Line","Green Line","Copley ","Passenger Wait Time",855.047222200,2121.705610912
01-MAR-2016,"Off-Peak Service (All Other Times)",Rail,"Orange Line","Orange Line","Downtown Crossing ","Passenger Wait Time",1028.829171270,10144.505003808
01-MAR-2016,"Off-Peak Service (All Other Times)",Rail,"Orange Line","Orange Line","State Street ","Passenger Wait Time",690.575296220,5541.286793577
01-MAR-2016,"Off-Peak Service (All Other Times)",Rail,"Red Line","Red Line","JFK/UMASS Braintree ","Passenger Wait Time",157.340999964,2153.877086667
01-MAR-2016,"Off-Peak Service (All Other Times)",Rail,"Red Line","Red Line","North Quincy ","Passenger Wait Time",160.611721636,2280.402352604
